Category,Equipment Name,Brand,Notes,Quantity,Exercise Equipment Tags
cardio,Treadmill,Life Fitness,3 units visible,3,"treadmill,cardio"
cardio,Stair Climber,Matrix,,1,"stair climber,cardio,stairs"
cardio,Elliptical,Life Fitness,,1,"elliptical,cardio"
cardio,Arc Trainer,Cybex,,1,"arc trainer,cardio,elliptical"
cardio,Lateral Elliptical,Octane Fitness,LateralX model,1,"elliptical,cardio,lateral"
cardio,Recumbent Bike,,,1,"bike,cardio,recumbent"
cardio,Upright Bike,,,1,"bike,cardio,upright"
cardio,Rowing Machine,,,1,"rowing,cardio,rower"
cardio,Air Bike,Schwinn / Assault,Fan bike style,1,"bike,cardio,air bike,assault bike"
strength-pin-loaded,Functional Trainer,Cybex,Bravo model,1,"cable,functional trainer,cables"
strength-pin-loaded,Cable Machine,Star Trac,Single station,1,"cable,cables"
strength-pin-loaded,Multi-Station Cable,Life Fitness,Includes lat pulldown/rows,1,"cable,cables,lat pulldown,cable row"
strength-pin-loaded,Leg Extension / Leg Curl,Star Trac,Instinct Line (Dual Function),1,"machine,leg extension,leg curl,leverage machine"
strength-pin-loaded,Hamstring Machine,FreeMotion,Standing single-leg style,1,"machine,hamstring,leverage machine"
strength-pin-loaded,Seated Leg Press,Star Trac,Horizontal orientation (Instinct Line),1,"machine,leg press,leverage machine"
strength-pin-loaded,Pec Fly / Rear Delt,Star Trac,,1,"machine,pec deck,rear delt,fly,leverage machine"
strength-pin-loaded,Pec Fly / Rear Delt,,M logo visible,1,"machine,pec deck,rear delt,fly,leverage machine"
strength-plate-loaded,Seated Row,Hoist,Roc-It line likely,1,"machine,row,leverage machine,plate loaded"
strength-plate-loaded,Linear Leg Press,,45-degree angle,1,"machine,leg press,sled machine,plate loaded"
strength-free-weights,Power Rack / Cage,Body-Solid,2 units visible,2,"barbell,squat rack,power rack,cage"
strength-free-weights,Bench Press Station,,,1,"barbell,bench,bench press"
strength-free-weights,Preacher Curl Bench,,,1,"bench,preacher curl,ez curl bar"
strength-free-weights,Dumbbells,,Rubber Hex style (Full rack),1,"dumbbell,dumbbells,free weights"
strength-free-weights,Fixed Barbells,,Straight and EZ curl bars,1,"barbell,ez curl bar,fixed barbell"
strength-free-weights,Adjustable Benches,,Multiple available,3,"bench,adjustable bench,incline bench,flat bench"
functional-accessory,Soft Plyo Box,Titan Fitness,3-in-1 style (30in visible),1,"box,plyo box,step"
functional-accessory,Medicine Balls,,With vertical rack,1,"medicine ball,med ball,slam ball"
functional-accessory,Kettlebells,,With rack,1,"kettlebell,kettlebells"
functional-accessory,Heavy Bag,Everlast,Hanging boxing bag,1,"heavy bag,punching bag,boxing"
functional-accessory,Battle Ropes,,,1,"battle ropes,rope"
